State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Gujarat,Vadodara(Baroda),Padra,Cauliflower,Other,FAQ,23/04/2025,1000,2000,1500
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,FAQ,23/04/2025,1500,3500,2500
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,FAQ,23/04/2025,10500,11500,11000
Gujarat,Vadodara(Baroda),Padra,"Pegeon Pea (Arhar Fali)",Other,FAQ,23/04/2025,6000,8000,7000
Gujarat,Vadodara(Baroda),Padra,"Pointed gourd (Parval)",Other,FAQ,23/04/2025,4500,4750,4625
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,FAQ,23/04/2025,600,800,700
Gujarat,Vadodara(Baroda),Padra,"Sponge gourd",Other,FAQ,23/04/2025,1500,2500,2000
Gujarat,Valsad,Chikli(Khorgam),"Pointed gourd (Parval)",Other,FAQ,23/04/2025,4000,4750,4375
Gujarat,Valsad,Pardi(Rohinee),Chikoos(Sapota),Other,Large,23/04/2025,1800,2000,2000
Haryana,Ambala,Barara,Cabbage,Other,FAQ,23/04/2025,400,700,400
Haryana,Ambala,Barara,Carrot,Other,FAQ,23/04/2025,800,1000,800
Haryana,Ambala,Barara,Colacasia,Colacasia,FAQ,23/04/2025,1000,1000,1000
Haryana,Ambala,Barara,Grapes,Other,Medium,23/04/2025,4000,7000,4000
Haryana,Ambala,Barara,"Karbuja(Musk Melon)",Other,Medium,23/04/2025,1000,1200,1000
Haryana,Ambala,Barara,Pomegranate,Other,Medium,23/04/2025,7000,9000,7000
Haryana,Ambala,Naraingarh,"Banana - Green",Other,FAQ,23/04/2025,1600,2700,2500
Haryana,Ambala,Naraingarh,"French Beans (Frasbean)",Other,FAQ,23/04/2025,2000,2500,2400
Haryana,Ambala,Naraingarh,Tomato,Tomato,FAQ,23/04/2025,500,1000,700
Haryana,Gurgaon,Pataudi,"Water Melon",Other,Medium,23/04/2025,900,1200,1000
Haryana,Gurgaon,Sohna,"Bottle gourd","Bottle Gourd",FAQ,23/04/2025,1000,1200,1200
Haryana,Gurgaon,Sohna,Cucumbar(Kheera),Cucumbar,FAQ,23/04/2025,1000,1700,1300
Haryana,Gurgaon,Sohna,Potato,Potato,FAQ,23/04/2025,1000,1000,1000
Haryana,Gurgaon,Sohna,Tomato,Tomato,FAQ,23/04/2025,1000,1000,1000
Haryana,Hissar,Barwala(Hisar),"Bitter gourd",Other,FAQ,23/04/2025,2600,3000,2800
Haryana,Hissar,Barwala(Hisar),Cauliflower,Other,FAQ,23/04/2025,500,600,600
Haryana,Hissar,Barwala(Hisar),Cucumbar(Kheera),Other,FAQ,23/04/2025,800,1500,1000
Haryana,Hissar,Hansi,"Bottle gourd",Other,FAQ,23/04/2025,800,1000,900
Haryana,Hissar,Hansi,Brinjal,Other,FAQ,23/04/2025,600,1500,1000
Haryana,Hissar,Hansi,Cucumbar(Kheera),Other,FAQ,23/04/2025,1000,2000,1500
Haryana,Hissar,Hansi,Grapes,Other,Medium,23/04/2025,6000,8000,7000
Haryana,Hissar,Hansi,Guava,Other,Medium,23/04/2025,4000,6000,5000
Haryana,Hissar,Hansi,"Mousambi(Sweet Lime)",Other,Medium,23/04/2025,3000,3500,3300
Haryana,Jind,Narwana,Apple,Other,Medium,23/04/2025,15000,15000,15000
Haryana,Kaithal,Dhand,Onion,Other,FAQ,23/04/2025,1100,1500,1400
Haryana,Karnal,Indri,Pomegranate,Other,Medium,23/04/2025,10000,10000,10000
Haryana,Mahendragarh-Narnaul,Narnaul,"Karbuja(Musk Melon)",Karbhuja,Medium,23/04/2025,1000,2000,1500
Haryana,Mahendragarh-Narnaul,Narnaul,Lemon,Lemon,FAQ,23/04/2025,9000,10000,10000
Haryana,Mahendragarh-Narnaul,Narnaul,Pumpkin,Pumpkin,FAQ,23/04/2025,500,500,500
Haryana,Mewat,FerozpurZirkha(Nagina),"Bottle gourd",Other,FAQ,23/04/2025,800,1000,900
Haryana,Mewat,Punhana,Potato,Other,FAQ,23/04/2025,1000,1000,1000
Haryana,Mewat,Punhana,Tomato,Other,FAQ,23/04/2025,800,800,800
Haryana,Panchkula,"New Grain Market , Panchkula",Tomato,Other,FAQ,23/04/2025,1500,2000,1800
Haryana,Panipat,Panipat,"Bottle gourd","Bottle Gourd",FAQ,23/04/2025,500,700,600
Haryana,Panipat,Panipat,Brinjal,"Arkasheela Mattigulla",FAQ,23/04/2025,700,900,800
Haryana,Panipat,Panipat,Onion,Other,FAQ,23/04/2025,700,1300,1000
Haryana,Panipat,Panipat(Baharpur),Wheat,Other,FAQ,23/04/2025,2425,2425,2425
Haryana,Rewari,Kosli,"Bottle gourd","Bottle Gourd",FAQ,23/04/2025,1500,1500,1500
Haryana,Rewari,Kosli,Brinjal,Other,FAQ,23/04/2025,1000,1000,1000
Haryana,Rewari,Kosli,Cucumbar(Kheera),Other,FAQ,23/04/2025,2000,2000,2000
